,ResponseId,Informed consent,Age,Gender,Continent of residence,Understanding of sustainability,Concerned about wasting resources,Socially responsible person,Prefer sustainability to conveniency,Willingness to make the world a better place,Clothing shopping frequencies,Factors that influence my shopping decisions,Needs and desires,Understanding of ethical fashion,Own sustainable clothing,Well informed on sustainable clothing,Impact of sustainble clothing on the world,Ability to afford sustainable clothing,Intention to buy sustainable clothing within the next 12 months
1289,R_233openyg3ygzRk,Yes,Under 22,Female,Europe,Production of goods that does not harm the environment or workers more than it helps them ,TRUE,Mostly true,Mostly true,Very important,Monthly,How often will I wear this ,Clothes that are made in my country,Clothing made to last ,Yes,Disagree,TRUE,Agree,1
1290,R_1r8EI3NgRuwNpcV,Yes,39-52,Female,Europe,"produced in a way that it is of high quality and lasts long, is produced with respect to the environment with no toxics and with natural or recyclable materials and with a mimimum of water and energy use, the energy use is compensated for by planting trees. Produced by adult people that get paid fair wages and have a say in the company's policy and management. It is is of a design that is not too fahionable (so that you dont't feel awkward wearing it year after year)",TRUE,TRUE,TRUE,Very important,Every 3 months,"If I really need it and if the item fits the other items in my closet (I make sets, easy when I need to work)","Underwear without elastane, I am allergic to it. Find fair AND sustainable fahion, not one of them, and without having to browse the internet; the city I live in is full of shops that are no use to me. And sustainable fair made children's clothing I can buy in a shop, not just on the internet (especially for shoes I find it painstaking). ","fair, environmental friendly, of high quality, classic design (not too fashionable)",Yes,Disagree,TRUE,Disagree,1
1292,R_BypBH1quglRZjGh,Yes,22-39,Female,Europe,"An approach on thinking and acting with less (harmful) impact on others or other things, having considered what the usual everyday practices do and how they impact on others or other things",TRUE,Mostly true,Neutral,Important,Every 3 months,is it comfortable and will I actually wear it (meaning will it actually have a purpose in my wardrobe / lifestyle),"clothes that actually fit my body / style, materials that feel good against skin (either natural or synthetic) and having ""value for money"" ","ethically made, locally manufactured or sourced perhaps, higher quality fabric and structure",Yes,Agree,TRUE,Strongly agree,1
1293,R_6zHfL4zUyqDm49j,Yes,Under 22,Female,North America,Being able to create something over and over from the same thing without it becoming an issue or creating an endangerment ,TRUE,Mostly not true,Mostly true,Very important,Monthly,cost,more available sustainable clothing,Clothing that is made with controlled resources,Maybe/Not sure,Disagree,TRUE,Neutral,1
1294,R_3qqDekfhPmOQdYI,Yes,22-39,Female,North America,"Sustainability is a trend mistakenly known for only caring for the environemnte. It covers much more, from taking into consideration social wellness, environmental aspects as well as economic profit. ",TRUE,Mostly true,Mostly true,Very important,I avoid it at all costs!,"How long will it last, how good the quality is, where does it come from, how expensive is it","Good quality clothes with a clear statement of where they come from, a quality stamp that avails for their openess regarding chain production or materials.","The one that covers those three aspects, cares for their workers and pays fair, that cares for the environment and polutes the least posibly, and that the prices reflect the type of product I am buying without being out of range.",Yes,Agree,Mostly true,Agree,1
1295,R_1ItKRShndol61qI,Yes,22-39,Female,Asia,"stable, long lasting,",TRUE,Mostly true,Mostly true,Very important,I avoid it at all costs!,quality and needs over wants,more sustainable and second hand options,long lasting,Yes,Disagree,Mostly true,Strongly agree,1
1296,R_Wkur7BRu1p4B78d,Yes,22-39,Female,Europe,"fair, non-toxic, biodegradable",TRUE,TRUE,TRUE,Important,Every 3 months,"not supporting companies I don't trust and try to shop as much as possible at second-hand stores, to buy the clothing that is already out there and use pieces, which may be thrown away by somebody, but are still in nearly new shape","clothes that are made somewhere else, not in Asia","second-hand, non-toxic, fabrics come from known producers, it's made in fair living-working-pay conditions",Yes,Disagree,TRUE,Disagree,1
1297,R_3RpG9WzbAAND2Cm,Yes,Under 22,Female,North America,"Efforts toward safe labor standards, fair pay, eco friendly fabric, water conservation, etc",Mostly true,Mostly true,Neutral,Very important,Every 3 months,Do I need it / is it worth the cost,Higher quality basics ,"High quality, eco friendly, safe labor, fair wage",Maybe/Not sure,Disagree,TRUE,Disagree,1
1299,R_3GDtrUANyUDu5oN,Yes,39-52,Female,North America,A way of producing goods that ensures a circular life cycle for those products with minimal or no waste. ,TRUE,Mostly true,Mostly true,Very important,Weekly,Will I wear this for a long time and does it have resale value,"Affordable and readily available (not necessarily cheap) organic cotton pants, sweaters, socks, underwear, bras.",Clothing with transparent supply and manufacturing chain that is sustainable and socially responsibly sources ,Yes,Neutral,TRUE,Neutral,1
1300,R_3hEDpDw6hfVVp5u,Yes,Under 22,Female,North America,Seeing neither humans (most importantly) nor natural resources as commodities to move along lifestyles of consumerism and convenience.,TRUE,Mostly true,Mostly true,Very important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
1301,R_1KdPN2lRUIQQdcA,Yes,Under 22,Female,North America,"A practice in which all ways of living (extracting, consuming, discarding) operate in such a way as to minimize negative impacts on the planet, maximize positive impacts on the planet and attempt to modify or present alternatives to or eliminate human behavior, economic systems, government systems, institutions, corporations and culture so that we can continue to exist on this planet",TRUE,Mostly true,TRUE,Very important,Monthly,"Is this sustainable, affordable and beneficial","I'm looking for more hand made, local, culturally relevant (directly linked to pop culture and my ethnic identity), one of a kind stuff. ","Clothing that is locally made, small batches, fair to workers and developing skills for workers, recycles materials as much as possible, has minimal impact on the environment, limited growth. ",Yes,Disagree,Mostly true,Disagree,1
1302,R_3KOVwt6mKIc4jx6,Yes,22-39,Female,North America,Stewarding resources in a way that honors the irreplaceability of our planet and its people.,Mostly true,Mostly true,Mostly true,Important,Every 6 months,Is it affordable?,"Affordable, stylish, ethically made basics.",Clothing manufactured by workers who earn a living wage.,Yes,Disagree,Mostly true,Agree,1
1303,R_0SAlZdW7RcO2OWJ,Yes,Under 22,Female,North America,Sustainability is buying with the wellbeing of the earth and others in mind. To me it means buying good quality items that won't wear out & have to be tossed/replaced quickly. It also means the item isn't being manufactured in such a way that it's harming the environment or putting the people making the merchandise at risk.,TRUE,Mostly true,Mostly true,Important,Every 3 months,Where it comes from and how the cost reflects the quality (ie. is it worth it),What I'm looking for? Or ethical brand clothing more readily accessible,Clothing that's manufacture/consumption doesn't negatively affect the earth ,Yes,Disagree,Mostly true,Agree,1
1304,R_bje0Hy3mPthfxxn,Yes,Under 22,Female,Australia,"Fair, conscious, being aware, the future ",TRUE,Mostly true,TRUE,Very important,Every 6 months,How much wear am I actually going to get out of the garment. ,A wider access to well made high quality products. ,"Good quality, fair, environmentally friendly, conscious ",Yes,Agree,TRUE,Neutral,1
1306,R_bseKl3xycG2YRz3,Yes,Under 22,Female,North America,Being abled to replenish what we take from our enviroment,Neutral,Mostly true,Neutral,Important,Yearly,Does the company/store have good and transparent ethics,more unique items that suit my individual style,using materials and labor that can be returned/replenished,Maybe/Not sure,Strongly disagree,TRUE,Neutral,1
1307,R_2SwdQr3rcsgGsTI,Yes,22-39,Female,North America,,TRUE,Mostly true,Mostly true,Very important,Every 6 months,How many uses it will get,Something that fits and is well made.,Ethical to other human beings and the environment ,Yes,Strongly disagree,TRUE,Disagree,1
1308,R_8CChzcIjbGAlH0d,Yes,22-39,Female,North America,"if all goods were made this way, they would not exceed the ability of the planet to regenerate the portion used for manufacturing and maintain its own ecosystems",TRUE,TRUE,TRUE,Important,Monthly,Manufacturer practices- I typically start with Made in USA so that they will be more transparent,"Quality bras made in the US, more domestically-made and sustainable denim",Clothing that is durable classic looking so it can be worn for years. buying less is the most sustainable option.,Yes,Disagree,Mostly true,Neutral,1
1311,R_3maRPP2kv5hhblU,Yes,Under 22,Female,North America,Sustainability means to live a life with as little negative impact on the environment and other lives.,Mostly true,Mostly not true,Mostly not true,Very important,Monthly,price,Sustainable clothing that is affordable for a college student.,clothing that is made ethically.,Maybe/Not sure,Agree,TRUE,Agree,1
1312,R_3qC3jecuSeKz9TI,Yes,Under 22,Female,North America,sustainability to me means living life in a way that will ensure that future generations can enjoy the same earth that we do today,TRUE,TRUE,Mostly true,Very important,Every 3 months,"will i be able to wear and love it for many, many years to come","cute, sustainability sourced and produced leather sandals",they need to have been made with a concern for both ethics and the environments,Yes,Strongly agree,TRUE,Strongly disagree,1
1314,R_31FPNXTDtZk06qs,Yes,Under 22,Female,North America,Being able to live comfortably now while ensuring safety for everyone today and in the future,TRUE,Mostly true,TRUE,Very important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
1315,R_XTkzyMN5ChW0gPT,Yes,22-39,Female,Europe,Living in a way so that the we do not consume more resources than nature (or man for that matter) can generate in the same amount of time,TRUE,Mostly true,Mostly true,Important,Weekly,Will I wear it often?,"Clothing that looks good, and for which I can be sure the production was done with minimal impact on the environment, and ensuring living wages to the people who worked in the supply chain.","Good quality clothing, that lasts and is produced with minimum impact on the environment, and buy people who can make a living doing it. ",Yes,Disagree,Mostly true,Disagree,1
1316,R_1rwdupza0vg7rNh,Yes,22-39,Male,Europe,"Being produced, manufactured or made in a way that does not inflict damage on the environment. This includes the human ecosystem so that workers must be paid a fair wage and be treated with respect and dignity and the materials they use must be ethically sourced also. ",TRUE,Mostly true,TRUE,Important,I avoid it at all costs!,"Where it came, from is it sound",Black Jeans not made in a sweat shop,"Clothing ethically sourced, using materials which do not rape the planet and made in places where workers are not abused",Yes,Disagree,TRUE,Neutral,1
1317,R_s6zFJCxe5LgbX5D,Yes,Under 22,Female,North America,Being able to sustain a clean and healthy environment,TRUE,TRUE,Mostly true,Very important,Monthly,Price,Ethically sourced and environmentally safe clothes that didn't include the harm of another animal/human being,,Yes,Disagree,TRUE,Neutral,1
1318,R_6JMnFSfuP2QfVWp,Yes,22-39,Female,North America,Something which has an impact that at least has a neutral impact on the planet and in the best case reduces negative impact as well. ,TRUE,TRUE,TRUE,Very important,I avoid it at all costs!,"Weather it is something I can wear all the time, and for a long time. ",sustainable bras and shoes ,clothing that is created without creating additional harm to the planet or people. ,Yes,Disagree,TRUE,Disagree,1
1319,R_yOYwXKWXbjTKpoZ,Yes,Under 22,Female,South America,"producing anything from clothes to food in a better way, taking care of the nature, using more natural materials, listening your workers and really thinking in more things than just the money you are working. ",TRUE,TRUE,Neutral,Very important,Every 3 months,Quality of the fabric,"Good and sustainable fabrics, variety of designs, creativity, real prices like they are the real price for the item ","The produceres take care of all the production proces, from when the fabric is made untill they are thrown away ",Yes,Strongly disagree,Mostly true,Strongly disagree,0
1320,R_1ZgM7JYdNesQu77,Yes,22-39,Other,North America,the ability to be done indefinitely or by many people without harm to or degradation of the environment,TRUE,TRUE,TRUE,Important,Yearly,which thrift store to go to,"sustainably-produced, high-quality, durable, resoleable shoes","clothing whose purchase (NOT manufacture) does not harm the environment, e.g. secondhand clothing",Yes,Neutral,TRUE,Disagree,0
1321,R_2QPZpdJobtRuOLF,Yes,22-39,Female,North America,the ability to maintain something on an ongoing basis,TRUE,Neutral,Mostly not true,Very important,Monthly,"value (factor in quality, cost, how much I will use the product)","more options for tall women (and right now, ANY tall maternity wear-- it doesn't seem to exist)","I think of ""sustainable clothing"" as clothing that is made while minimizing detrimental effects to humans and the environment. As the manufacturer and the environment bear less of the production cost in this model, the end user naturally absorbs a greater (monetary) cost.",Yes,Neutral,Mostly true,Strongly disagree,0
1322,R_8kNMONsCf44PdWF,Yes,22-39,Female,North America,"A sustainable way of life takes into account the impacts of our actions and choices on other human beings, the environment, and the world around us and aims to live in a way that positively influences all of these things.",Mostly true,Neutral,Mostly true,Very important,Monthly,"cost, quality",products i both enjoy and can afford,,Maybe/Not sure,Disagree,Mostly true,Strongly agree,0
1323,R_1hYbRxAWQMgEIZh,Yes,Under 22,Female,North America,Sustainability is defined by making conscious decisions regarding the environment and human rights. It's aknowleging that the decisions we make right now not only affect future generations but they also affect the well being of people today. Sustainability is making the decision to preserve our earth and they people who inhabit it. ,Mostly true,Neutral,Mostly true,Very important,Every 3 months,is it affordable,"Affordable, sustainable, and stylish clothing",clothing that was made in a way that doesn't exploit the environment or the workers who made them and positively impacts the economy of where it was made.,Yes,Disagree,TRUE,Agree,1
1324,R_3sgg7dDLakBxwr1,Yes,22-39,Female,North America,"Eco-friendly, conscious of environmental impacts ",Mostly true,TRUE,TRUE,Very important,Monthly,"Choosing to buy from ethical, sustainable brands","Cute, simple, youthful, quality and fashion forward clothing that is ethically made. ",Environmentally conscious ,Yes,Neutral,TRUE,Strongly disagree,1
1325,R_2P737lCrRNNNEEp,Yes,22-39,Female,North America,"Sustaining the earth for centuries to come, for everyone and every thing. ",TRUE,TRUE,TRUE,Very important,Every 6 months,"Price, quality, environmental stewardship",Environmentally conscious clothing without spending $150 on a top. , ,Maybe/Not sure,Agree,Mostly true,Agree,1
1326,R_323KLVNUGD5nIec,Yes,39-52,Female,North America,"equitable, ecological, concern for people earning a fair wage and without harm to the environment or communities",TRUE,Mostly true,Mostly true,Important,Every 3 months,"based on fit, comfort, functional, quality, durability, type of fabric and care, where it is made, who designed it, if its locally made, how it completes my wardrobe","information on the conditions in which it was made, where the materials were sourced","made by people who earned a fair wage, locally designed and manufactured (low carbon footprint), durable (wear for years), natural fibres major proportion in composition of fabric",Maybe/Not sure,Strongly disagree,Mostly true,Neutral,1
1328,R_27foXU4ASR2K8ii,Yes,Under 22,Female,Europe,"A way to live in a way that does not disturb the environment but also gives value to the seller/producer of the product.
A way to live more minimally, making the products I buy more durable and higher quality",TRUE,TRUE,Mostly true,Very important,Every 3 months,"The colour (always black) and the source (of the resources, of the labour, of the final product)",More original pieces made sustainably for a cheaper price,an ideal everyone should aspire to,Yes,Disagree,TRUE,Neutral,1
1329,R_Yb6yUba0oTqiQyl,Yes,22-39,Female,North America,Uses manufacturing practices and materials that preserve natural resources and our environment,TRUE,TRUE,Mostly true,Very important,Every 3 months,"Multiple things: sustainability, affordability, fit, style, quality","More natural fabrics (cotton, wool, silk, linen, etc) instead of synthetics",Clothing made using environmentally friendly and ethical manufacturing methods and materials,Yes,Disagree,Mostly true,Disagree,1
1333,R_2ykdps4bIW1VHPJ,Yes,22-39,Female,Europe,"Concern with ethical, social and ambiental issues",Mostly true,Mostly true,Neutral,Very important,Every 3 months,Price quality relation,,,Yes,Disagree,Mostly true,Neutral,1
1334,R_02mRWIqdhGSzHwt,Yes,Under 22,Female,North America," When it comes to clothing....  I like things that last, if I'm going to pay $10-$30 or something I don't want to shrink in the wash machine or fall apart .  And I like things to come from now on sources and good materials . ",TRUE,Mostly true,TRUE,Very important,Weekly, I try to stay away from Branson I know aren't  ethical.  Though if I'm honest where I live I do not have  many options  , Things that were affordable but ethical!   In a perfect world everything would be fair trade and organic! But sadly it's not like that!  I actually only have two options where I live as to where shop where I think it's ethical  but I'm honestly not even sure.  ,"Organic, fair trade, well-made",Maybe/Not sure,Disagree,TRUE,Agree,0
1336,R_1mCw2cwvDMRmUsG,Yes,22-39,Male,Africa,TAKE YOU FOR A LONG TIME,Not true,TRUE,TRUE,Important,Monthly,HOW MUCH THE CLOTH COST AND HOW LONG IT WILL TAKE ME,"DURABLE CLOTH, AFFORDABLE AND COMFORTABLE CLOTHS",CLOTH THAT HAS THE ABILITY TO TAKE YOU FOR A LONG TIME,Yes,Neutral,Mostly not true,Neutral,0
1337,R_1K6B62Bbpinbh3w,Yes,Under 22,Female,North America,"being committed to reducing environmental impact and treating workers fairly
",Mostly true,TRUE,Mostly true,Very important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
1338,R_cMdpdDYTCqY6U0x,Yes,22-39,Female,Europe,It is something that is made or is working in that way that is not harming any human or animal being or the nature and the environment by reusing and recycling already existing things. ,TRUE,Mostly true,Mostly true,Important,Monthly,I want it to be unique.,products I consider nice but made from materials that are recycled or reused and faux. ,"It is clothing made from artificial materials where no animals are killed, and it is made in normal factories where people have normal and healthy working conditions, and is not polluting the Earth.",Yes,Neutral,TRUE,Agree,1
1339,R_WD7kjrR4xmLTSMx,Yes,22-39,Female,North America,"The way I see it, sustainability focuses on the long term benefit of the collective group, its adds a factor or caution and awareness in a world where decisions, corporate or personal, have been more complex filled with subliminal factors we should consider ",TRUE,TRUE,Mostly true,Very important,Every 3 months,"Style, convenience, comfort","Affordable yet great quality goods
Unique pieces that are more easily accessible","Clothing produced in a clean and fair supply chain, from materials used to the labor involved in creating the product to the transportation and distribution of it",Yes,Strongly disagree,Mostly true,Neutral,1
1340,R_33xxr8K6kViEQg4,Yes,Under 22,Female,North America,"Creating products that only use viable, consistent, and non harmful means of production and supplies",TRUE,Neutral,Mostly true,Very important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
1341,R_2aXZNkI1vmRy6nD,Yes,22-39,Male,Europe,"A way of life that respects the environment, society, and human welfare (our own and that of others)",Mostly true,Neutral,Neutral,Very important,Yearly,Price and attractiveness ,"Fashionable clothing that has been made with care to its social, environmental impact and that is affordable. ",Clothing whose manufacturing and supply chain respects the rights of the workers and the environment ,Maybe/Not sure,Neutral,TRUE,Disagree,1
1342,R_10pyhiZ6xNOpplb,Yes,Under 22,Male,Europe,"Being able to continuously do something without hurting the environment, populations and resources",Mostly true,TRUE,Mostly true,Very important,Every 3 months,How it looks,"More ethical clothing that looks good, not too expensive and is a good quality",Where people and the environnement are not negatively affected,Yes,Disagree,TRUE,Neutral,1
1343,R_1dBkwhlvfKBbBJj,Yes,39-52,Female,North America,Products or lifestyle that leave as little of a footprint as possible. Being mindful of natural resources and reduce and reuse as much as makes sense. ,TRUE,Mostly true,TRUE,Very important,Every 6 months,What it is made from/of,More organic cotton based fabrics and repurposed clothing that suits my style. ,Clothing made from fabrics that use little resources to grow/maintain/cultivate/process or clothing made from repurposed clothing or fabrics/scraps. ,Yes,Disagree,Mostly true,Disagree,1
1344,R_25GibeVAzdCE6tP,Yes,22-39,Female,Europe,Considering how to lessen the long term social and environmental impact of actions and objects,TRUE,TRUE,Mostly true,Very important,Every 3 months,Quality,More natural materials and better quality jeans.,Slow fashion,Yes,Agree,TRUE,Disagree,1
1345,R_2fJUtMFTzVp66Tj,Yes,Under 22,Female,North America,The practice of using materials in such a way that their use does not negatively impact the ability of future generations to access the same material. It's either renewable (and the company claiming to be sustainable renews it) or it's perpetual (like solar or wind energy). ,TRUE,Mostly true,Mostly true,Very important,Monthly,how it looks (but that's not the only variable!),"cheaper things that are made sustainably. sustainable things that are available at malls. i like to go shopping with my friends, but most of the stores at the mall near my house use sweatshop labor, so in the end i go shopping and don't buy anything and it makes me feel like a party pooper.",clothing made ethically (environmental and human rights),Maybe/Not sure,Disagree,TRUE,Agree,1
1348,R_1erwJIW29CzvM7t,Yes,22-39,Female,North America,"In the most basic form, something that can keep itself going. In a clothing business, this means environmental best practices, meeting workers' needs and respecting their rights (the manufacturing workers of course, but also making efforts to include proportional numbers of people of color and women in the upper CEO-type jobs). A business should not just meet established minimums in the above areas, but go above and beyond when minims are too low, and always strive to do better. However, a business can't keep going if it doesn't make money, so progress towards environmental an human perfection does need to be balanced with economic viability, but in a way that respects the value of workers and the environment and makes a conscious effort to continually improve the human and enviromental sustainability of the company. ",TRUE,Mostly true,Mostly true,Important,Every 6 months,second hand or new,Jeans that fit!,"long-lasting, well-loved (and preferably second hand or from a sustainable/ethical brand)",Yes,Agree,Mostly true,Neutral,1
1349,R_WvRGs8W5WXIgj4J,Yes,22-39,Female,Asia,no,TRUE,TRUE,TRUE,Very important,Monthly,good for earth,a good quality,"good for planet, people",Yes,Strongly disagree,TRUE,Agree,1
1350,R_2rYLfQqhCHb8XpR,Yes,22-39,Female,Europe,Leaving something left. As ethical and green as possible.,Mostly true,Mostly true,Mostly true,Important,Every 3 months,Will I wear it. Does it suit me.,"Stuff to fit me (just cos I've got a big butt and boobsbdoesnt mean my waists that fat!) stuff in my colour. Stuff made sustainably, stuff in fabric I like wearing.","Made from organic cotton or modal, second hand ",Yes,Neutral,Neutral,Neutral,1
1352,R_3JK33MrhQYvVzul,Yes,22-39,Female,Europe,"Longevity, ethical, quality",Neutral,Mostly true,TRUE,Very important,Every 6 months,Where I buy my clothes from,Pieces that reflect my style and can be worn in different ways so not having to buy many clothes when I shop,"Clothes that are made ethically. They encompass quality, longevity and care for the maker and wearer.",Yes,Disagree,Mostly true,Neutral,1
1353,R_2ATkUkKCvuWGyRl,Yes,52-70,Male,Europe,recycling as much as possible and using renewables,TRUE,Neutral,Mostly true,Important,Monthly,,ethical labels ,renew revamp buy used clothing,Yes,Disagree,TRUE,Strongly disagree,1
1355,R_bIwOgCYwbs9m5pf,Yes,Under 22,Female,Europe,Don't know what that is.,Mostly true,Neutral,Not true,Very important,Monthly,Do I like it? Does it fit me? Can I afford it?,Nice clothes or retro clothes,,Maybe/Not sure,Disagree,TRUE,Neutral,1
1358,R_2dGZj56MWtHCxAD,Yes,39-52,Female,Europe,Something that has many uses and many lives. Not 'one use only'...,TRUE,Not true,TRUE,Important,Monthly,How does it suit me?,"Long sleeves, trousers that cover my ankles, shoes that are big enough and comfy high heels",Fair trade,Yes,Disagree,TRUE,Neutral,1
1359,R_1gN33rlXJVgCSXw,Yes,22-39,Female,North America,"Sustainability has to do with the environmental and social impact of a production process.  A company that is sustainable, for example would ensure ethical human rights practices in their factories while trying to do things like reduce water usage and minimize emissions, etc.",Mostly true,Mostly true,Neutral,Important,Every 3 months,If I will get a lot of use out of that garment,long lasting basics,clothing that is environmentally and ethically produced,Yes,Neutral,TRUE,Agree,1
1360,R_pJHJReu53AT5GaR,Yes,Under 22,Female,North America,Not wasting the earth's natural resources. To sustain the natural resources that we have so that they are around for a long time and not all used up.,Mostly true,Neutral,TRUE,Very important,Yearly,Is this brand ethical?,Easier to find and access ethical brands,Keeping in mind our earth's natural resources,No,Neutral,TRUE,Agree,1
1361,R_3rZ1a7grNcmZhEU,Yes,22-39,Female,Asia,"The ability of something to last, far beyond a couple of years, possibly forever :) ",Neutral,Mostly true,TRUE,Very important,Every 3 months,To buy something I will use frequently ,Geeky and pop culture items that are also sustainable ,"Minimalist, Chic",Yes,Agree,TRUE,Disagree,1
1362,R_3DbRjFfQOCDPbnP,Yes,Under 22,Female,Australia,"Resources that are renewable and have a low carbon footprint, ie. Have not travelled long distances to be sold ",TRUE,TRUE,Mostly true,Very important,Monthly,Price,"Low price clothing that is environmentally sustainable, ethically sourced that fits well and is still in a style that I like (I find that often things that fits the environmental and ethical categories are really expensive and mostly aimed at an older age bracket, not students so I often shop second-hand as it has a lower impact in both categories) ","Clothing that has been sourced organically, from a renwable resource or made from offcuts that is also ethically made and if possible locally sourced/made.",Yes,Disagree,Mostly true,Strongly agree,1
1363,R_BM3xNxEwuGoSHvj,Yes,39-52,Female,Europe,You put in as much as you take out,TRUE,Mostly true,TRUE,Very important,Every 6 months,"They are something I need, they will last and they suit me.",What I need in a style that I like.,Clothes that will last from sellers that are not exploitive.,Yes,Disagree,TRUE,Neutral,0
1365,R_CahvhPxlLRjTrfH,Yes,22-39,Female,North America,First instinct is environmental- practices that do not deplete our resources faster than they replenish them,Mostly not true,Mostly true,Mostly true,Very important,Monthly,price,"Clothes within my budget ($20-30 for tops, $30-60 for dresses) from companies with fair labor practices",Environmentally sustainable,Maybe/Not sure,Strongly disagree,TRUE,Strongly agree,0
1366,R_3fCaxkTbyR9ie69,Yes,39-52,Female,Europe,For me sustainability means that production doesn't happen at the cost of environment or people exploitation ,TRUE,Mostly true,TRUE,Very important,Every 3 months,Do I really need this ?,More information on how much each brand is ethical and sustainable ,"Clothes which are procured respecting the environment , the workers and the consumers",Maybe/Not sure,Strongly disagree,TRUE,Strongly disagree,1
1368,R_1qUIxwBXujBHJpm,Yes,22-39,Male,South America,"The use of materials and processes that doesn't destroy the environment and doesn't affect animals, human and non-human, in a bad way ",TRUE,Mostly true,TRUE,Very important,Every 3 months,"how it looks, who and how was it manufactured and finally the price",Find stores that sell ethical clothing easily and reasonable prices,Clothes that help the world be a better place,Yes,Disagree,TRUE,Neutral,1
1370,R_bd2TlRM9Cz3Gq5P,Yes,22-39,Female,Asia,"Product that does not harm, gives back.",Mostly true,Mostly true,Mostly true,Important,Every 6 months,"Quality, fair labor practices",Clearly labeled sustainable clothing ,"Clothing that is environmentally sound, long term wear, made by individuals who receive fair wages in a clean and safe environment",Yes,Neutral,Mostly true,Disagree,1
1374,R_u87cvpsKckJRrWN,Yes,Under 22,Female,North America,,TRUE,Neutral,Mostly true,Important,Every 3 months,It's ethical,Less expensive fashionable ethical clothing that has good fair trade policies.,"Clothing that is made without harming any living things including humans, animals, and our environment",Yes,Disagree,TRUE,Neutral,1
1375,R_1hVZ3CLPTSum7Hh,Yes,22-39,Female,Asia,meeting a need without compromising the ability of future generations to meet it as well,TRUE,Mostly true,Mostly true,Very important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
1380,R_VKbAW1tTOz6VlIt,Yes,22-39,Female,North America,Using resources at a rate that they can be replenished.,Mostly true,Neutral,Mostly true,Important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
1389,R_1ih2CsyY2Ekv4DT,Yes,22-39,Female,North America,"A brand that is concerned about the welfare of the eco system. A brand that Is willing and able to ""put their money where their mouth is"" in creating a clothing line that is transparent for the consumer. Leaving a small carbon footprint for the next generation.",TRUE,Mostly true,Mostly true,Important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
1392,R_2VarHAJg5rypvy4,Yes,22-39,Female,North America,An intention and action to make products less harmful to the planet and all it's inhabitants. ,TRUE,TRUE,Mostly true,Very important,Monthly,"Fit, cost, style and sustainability ",,"Recycled, upcycled or responsibility sources and fabricated ",Yes,Disagree,TRUE,Neutral,1
1397,R_2qfydAYSBpxzL1R,Yes,22-39,Female,North America,"Practices with minimal environmental impact that can be used long-term without causing degradation to the environment, and that support people in order for them to work while living in health and happiness. ",TRUE,TRUE,TRUE,Very important,Every 6 months,"Eco-consciousness, followed by fit.",Items that are good for the planet and fashionable.,Clothing made without harming people or the environment.,Yes,Disagree,TRUE,Neutral,1
1402,R_2OOxzfJJM9fXN5v,Yes,22-39,Female,Europe,avoidance of the depletion of natural resources,TRUE,Mostly true,TRUE,Very important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
1404,R_BQuUqpbrj0zr2I9,Yes,22-39,Female,Europe,ensuring that the world before and after your actions is absolutely the same and you have left no negative impact or have reimbursed for it ,TRUE,Neutral,Mostly not true,Important,Monthly,how much i spend,more truly sustainable products at an agreeable price ,made with no negative impact,Maybe/Not sure,Disagree,TRUE,Agree,1
1405,R_1IHs7ZgHWpB3SoI,Yes,Under 22,Female,Europe,"Uses as little water, CO2 as possible. Made ethically.",Mostly true,TRUE,Mostly true,Important,Monthly,if i need the item,Ethically made clothes at a good price and easily available.,Uses as little water and CO2 as possible and made ethically.,No,Strongly disagree,Mostly true,Strongly agree,1
1406,R_eR7l2hjDa51iyNb,Yes,22-39,Female,North America,Taking responsibility for the effects of production/shipping on humans & the environment and taking steps to lower negative impact and increase positive impact. Also producing durable long-lasting items that will not need to be replaced/disposed of.,TRUE,TRUE,TRUE,Very important,Monthly,Is this going to last for multiple years? And will I still like it for that long?,Sustainable clothing stores near me so I wouldn't have to do it all online.,"Ethically produced, little-to-no environmental impact, made to last",Yes,Neutral,TRUE,Neutral,1
1407,R_3NIkW05B7aH6AQa,Yes,52-70,Female,North America,Producing things with minimal impact on the environment. ,TRUE,TRUE,TRUE,Very important,Every 3 months,Whether is is ethically made ,Reliable information on how it is made. ,"Made without toxic chemicals, made from renewable, recycled or organism produced material. ",Yes,Disagree,TRUE,Disagree,1
1408,R_30cmbgeXYAN1Rhr,Yes,22-39,Female,North America,"Sustainability is a quality of being able to produce, maintain, and replenish within a system or environment.",TRUE,Mostly true,Mostly true,Very important,Every 6 months,Quality,Information about where and how the clothes are made and how excess is disposed of.,"Clothing made and recycled with ethical, environmental, and social awareness.",Maybe/Not sure,Strongly disagree,TRUE,Neutral,1
